                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2308,                0.84155,                0.90564,                0.54222,                0.41124,                0.43359,                0.26215,                 1.2446,                0.89301,                0.91138,              0.0067653,              0.0067653,              0.0067653
                     36,                 1.2372,                0.84395,                0.90632,                0.53134,                0.41595,                0.43038,                0.26128,                 1.2378,                0.89072,                0.90858,              0.0066673,              0.0066673,              0.0066673
                     37,                 1.2356,                0.83963,                0.90656,                0.53547,                0.41677,                0.42828,                0.25795,                 1.2432,                0.89379,                0.91037,              0.0065693,              0.0065693,              0.0065693
                     38,                 1.2312,                0.83306,                0.90553,                0.52833,                0.40803,                0.42643,                0.25978,                 1.2297,                0.89347,                0.90763,              0.0064713,              0.0064713,              0.0064713
                     39,                 1.2179,                0.82541,                0.90349,                0.52774,                0.41678,                0.43405,                0.26371,                 1.2355,                0.88956,                0.90775,              0.0063733,              0.0063733,              0.0063733
                     40,                 1.2203,                0.82418,                 0.9033,                0.54415,                0.41509,                 0.4366,                0.26543,                 1.2308,                 0.8835,                0.90696,              0.0062752,              0.0062752,              0.0062752
                     41,                 1.2191,                0.81861,                0.90295,                0.53016,                0.42195,                0.43485,                0.26394,                 1.2268,                0.88495,                0.90631,              0.0061772,              0.0061772,              0.0061772
                     42,                  1.218,                0.81867,                0.90219,                0.53015,                0.41903,                0.43669,                0.26678,                 1.2254,                 0.8815,                0.90529,              0.0060792,              0.0060792,              0.0060792
                     43,                 1.2214,                0.81716,                0.90141,                0.55336,                0.41271,                0.43991,                0.26671,                 1.2285,                0.88059,                0.90571,              0.0059812,              0.0059812,              0.0059812
                     44,                  1.208,                0.80611,                0.90128,                0.54538,                0.42176,                0.43963,                0.26614,                 1.2283,                0.88649,                0.90758,              0.0058832,              0.0058832,              0.0058832
                     45,                 1.2044,                0.80338,                0.90116,                0.54308,                0.42341,                0.43924,                0.26773,                 1.2193,                0.87976,                0.90497,              0.0057851,              0.0057851,              0.0057851
                     46,                 1.2043,                0.80278,                0.89934,                0.53255,                0.42917,                0.43873,                 0.2667,                 1.2219,                0.87397,                0.90503,              0.0056871,              0.0056871,              0.0056871
                     47,                  1.206,                0.80049,                0.89879,                0.54401,                0.42422,                0.44227,                0.26819,                 1.2195,                0.87943,                0.90472,              0.0055891,              0.0055891,              0.0055891
                     48,                 1.2033,                0.79956,                0.89818,                0.55243,                0.41847,                0.44159,                0.26748,                 1.2222,                0.87131,                0.90484,              0.0054911,              0.0054911,              0.0054911
                     49,                 1.1996,                0.79151,                0.89672,                0.53838,                0.42535,                0.44045,                0.26845,                 1.2211,                0.87246,                0.90421,              0.0053931,              0.0053931,              0.0053931
                     50,                 1.2009,                0.78944,                0.89844,                0.54613,                0.42489,                0.44474,                 0.2705,                 1.2231,                 0.8696,                0.90536,               0.005295,               0.005295,               0.005295
                     51,                  1.193,                0.78646,                0.89641,                0.54484,                0.42958,                0.44388,                0.26965,                 1.2223,                0.87229,                0.90501,               0.005197,               0.005197,               0.005197
                     52,                  1.188,                 0.7813,                0.89532,                0.53411,                0.43238,                 0.4434,                0.27004,                 1.2248,                0.87249,                0.90458,               0.005099,               0.005099,               0.005099
                     53,                 1.1911,                0.78255,                0.89514,                 0.5529,                0.42705,                 0.4469,                0.27178,                 1.2214,                0.86934,                0.90379,               0.005001,               0.005001,               0.005001
                     54,                 1.1829,                0.77536,                0.89352,                0.54455,                0.42707,                0.44638,                0.27274,                 1.2154,                0.86413,                0.90348,               0.004903,               0.004903,               0.004903
                     55,                 1.1897,                0.77689,                0.89499,                0.55186,                0.42886,                0.44398,                0.27041,                 1.2252,                0.87093,                0.90509,               0.004805,               0.004805,               0.004805
                     56,                 1.1824,                0.77038,                0.89408,                0.55664,                0.42562,                0.44656,                0.27269,                 1.2206,                0.87028,                0.90486,              0.0047069,              0.0047069,              0.0047069
                     57,                 1.1758,                0.76506,                0.89199,                0.55159,                0.42338,                 0.4462,                0.27106,                 1.2237,                0.87217,                0.90366,              0.0046089,              0.0046089,              0.0046089
                     58,                 1.1726,                0.75944,                0.89142,                 0.5775,                0.41685,                0.44957,                0.27383,                 1.2197,                 0.8671,                0.90317,              0.0045109,              0.0045109,              0.0045109
                     59,                  1.176,                0.76373,                0.89194,                0.55158,                0.43106,                0.44827,                0.27365,                 1.2197,                0.86599,                 0.9035,              0.0044129,              0.0044129,              0.0044129
                     60,                 1.1758,                0.75995,                 0.8909,                0.56388,                0.42087,                0.44774,                0.27332,                 1.2179,                 0.8643,                0.90336,              0.0043149,              0.0043149,              0.0043149
                     61,                 1.1732,                0.75728,                 0.8916,                0.57093,                0.41852,                0.44626,                 0.2727,                 1.2195,                0.86876,                0.90373,              0.0042168,              0.0042168,              0.0042168
                     62,                 1.1711,                0.75295,                0.88848,                0.56329,                0.42413,                0.44592,                0.27251,                 1.2124,                0.86652,                0.90177,              0.0041188,              0.0041188,              0.0041188
                     63,                 1.1671,                 0.7509,                0.89082,                0.55981,                0.42881,                0.45011,                0.27564,                 1.2152,                0.86449,                0.90282,              0.0040208,              0.0040208,              0.0040208
                     64,                 1.1686,                0.75009,                0.88945,                0.55128,                0.43152,                0.45076,                0.27511,                 1.2166,                0.86519,                0.90404,              0.0039228,              0.0039228,              0.0039228
