                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1428,                0.73668,                0.90053,                0.56552,                0.45582,                 0.4729,                0.29313,                 1.1741,                 0.8197,                0.90763,              0.0067653,              0.0067653,              0.0067653
                     36,                  1.148,                0.73697,                0.90026,                0.57877,                0.45087,                0.47297,                0.29271,                 1.1797,                0.81771,                0.90926,              0.0066673,              0.0066673,              0.0066673
                     37,                 1.1464,                0.73302,                0.90043,                0.55273,                0.45031,                0.46827,                0.28942,                 1.1777,                0.82529,                0.90936,              0.0065693,              0.0065693,              0.0065693
                     38,                  1.142,                0.72685,                0.90094,                0.57062,                0.45303,                0.47699,                0.29673,                 1.1674,                0.82473,                 0.9057,              0.0064713,              0.0064713,              0.0064713
                     39,                  1.128,                0.71858,                0.89831,                0.56345,                0.45505,                0.47549,                0.29268,                 1.1742,                0.81992,                0.90861,              0.0063733,              0.0063733,              0.0063733
                     40,                 1.1297,                0.71431,                0.89849,                0.57237,                0.45893,                0.47531,                0.29319,                 1.1698,                0.81892,                0.90614,              0.0062752,              0.0062752,              0.0062752
                     41,                  1.129,                0.70976,                 0.8974,                0.55514,                0.46148,                0.47568,                0.29436,                 1.1677,                0.81568,                0.90616,              0.0061772,              0.0061772,              0.0061772
                     42,                  1.129,                0.70941,                0.89684,                0.58556,                0.44637,                0.47775,                0.29655,                 1.1616,                0.81284,                0.90493,              0.0060792,              0.0060792,              0.0060792
                     43,                  1.129,                0.70683,                0.89534,                0.57187,                0.44901,                0.47535,                0.29415,                 1.1625,                0.81127,                0.90591,              0.0059812,              0.0059812,              0.0059812
                     44,                 1.1163,                0.69608,                0.89496,                 0.5783,                0.44769,                 0.4755,                0.29484,                 1.1634,                0.81146,                0.90794,              0.0058832,              0.0058832,              0.0058832
                     45,                 1.1135,                0.69369,                0.89488,                0.58505,                0.44624,                0.47844,                0.29608,                 1.1586,                0.81311,                0.90487,              0.0057851,              0.0057851,              0.0057851
                     46,                 1.1116,                0.69105,                0.89323,                0.57294,                0.46282,                0.48312,                 0.2981,                 1.1602,                0.80474,                0.90565,              0.0056871,              0.0056871,              0.0056871
                     47,                 1.1122,                0.68625,                0.89149,                0.57837,                0.44551,                0.47525,                0.29301,                 1.1634,                0.81355,                0.90733,              0.0055891,              0.0055891,              0.0055891
                     48,                 1.1087,                0.68537,                0.89113,                0.58266,                0.44392,                0.47537,                0.29403,                 1.1613,                 0.8111,                0.90623,              0.0054911,              0.0054911,              0.0054911
                     49,                 1.1074,                0.67781,                 0.8903,                 0.5957,                0.44734,                0.47937,                0.29706,                 1.1642,                0.81558,                0.90416,              0.0053931,              0.0053931,              0.0053931
                     50,                 1.1082,                 0.6773,                0.89075,                0.57238,                0.46151,                0.48218,                 0.2977,                 1.1614,                0.81034,                0.90452,               0.005295,               0.005295,               0.005295
                     51,                 1.0988,                0.67436,                0.88966,                 0.5807,                0.45544,                0.48183,                0.29802,                 1.1579,                0.80853,                0.90541,               0.005197,               0.005197,               0.005197
                     52,                 1.0935,                0.66459,                0.88767,                0.56884,                0.45916,                  0.481,                0.29729,                 1.1657,                0.81047,                0.90562,               0.005099,               0.005099,               0.005099
                     53,                 1.0962,                0.66817,                0.88666,                0.57028,                0.45871,                0.48059,                  0.297,                 1.1632,                0.81017,                 0.9038,               0.005001,               0.005001,               0.005001
                     54,                 1.0871,                0.65939,                0.88467,                0.58987,                0.45988,                0.48478,                  0.301,                 1.1562,                0.80551,                0.90266,               0.004903,               0.004903,               0.004903
                     55,                 1.0925,                0.66128,                0.88754,                0.57261,                0.46022,                0.48237,                0.29792,                 1.1668,                0.81509,                0.90583,               0.004805,               0.004805,               0.004805
                     56,                 1.0861,                0.65254,                0.88623,                0.59653,                0.45931,                0.48419,                0.30042,                 1.1652,                0.81117,                0.90446,              0.0047069,              0.0047069,              0.0047069
                     57,                  1.079,                0.64799,                0.88362,                0.58511,                0.45917,                0.48142,                0.29925,                 1.1616,                0.81162,                0.90259,              0.0046089,              0.0046089,              0.0046089
                     58,                 1.0758,                0.64451,                0.88396,                0.59469,                0.45779,                0.48551,                0.30058,                  1.163,                0.81006,                0.90519,              0.0045109,              0.0045109,              0.0045109
                     59,                 1.0796,                0.64398,                0.88423,                0.57694,                0.46374,                0.48499,                0.30105,                  1.161,                0.80767,                 0.9042,              0.0044129,              0.0044129,              0.0044129
                     60,                  1.078,                0.64203,                 0.8829,                0.57544,                0.46058,                0.48103,                0.29819,                 1.1642,                0.81323,                0.90676,              0.0043149,              0.0043149,              0.0043149
                     61,                 1.0759,                0.63894,                0.88277,                0.58709,                0.45775,                0.48246,                0.30087,                 1.1596,                0.80939,                0.90465,              0.0042168,              0.0042168,              0.0042168
                     62,                 1.0717,                0.63461,                0.87979,                0.57202,                0.46435,                0.48116,                0.29989,                 1.1576,                0.80991,                0.90413,              0.0041188,              0.0041188,              0.0041188
                     63,                 1.0694,                0.63286,                0.88319,                0.57896,                0.46285,                0.48344,                0.30079,                 1.1621,                0.81053,                0.90584,              0.0040208,              0.0040208,              0.0040208
                     64,                 1.0688,                 0.6288,                0.88108,                0.57433,                0.46615,                0.48488,                 0.3002,                 1.1536,                0.81037,                0.90399,              0.0039228,              0.0039228,              0.0039228
                     65,                 1.0659,                0.62751,                0.88211,                0.58126,                0.46219,                0.48354,                0.29928,                 1.1588,                0.81302,                0.90597,              0.0038248,              0.0038248,              0.0038248
                     66,                 1.0629,                 0.6242,                 0.8799,                0.57225,                0.46325,                 0.4814,                0.29774,                 1.1614,                0.81625,                0.90493,              0.0037267,              0.0037267,              0.0037267
                     67,                 1.0545,                0.61609,                0.87845,                 0.5777,                0.46173,                0.48145,                0.29772,                 1.1604,                0.81455,                0.90546,              0.0036287,              0.0036287,              0.0036287
                     68,                  1.052,                0.61455,                0.87928,                0.59273,                0.45558,                0.48387,                0.30012,                 1.1607,                0.81123,                0.90551,              0.0035307,              0.0035307,              0.0035307
                     69,                 1.0523,                0.61308,                0.87789,                0.58359,                0.46478,                0.48475,                0.30035,                   1.16,                0.81106,                0.90567,              0.0034327,              0.0034327,              0.0034327
                     70,                 1.0495,                0.60784,                 0.8777,                0.57767,                 0.4663,                0.48496,                  0.299,                 1.1583,                0.81185,                0.90534,              0.0033347,              0.0033347,              0.0033347
                     71,                 1.0441,                0.60205,                0.87664,                0.58777,                0.46231,                0.48493,                0.30145,                 1.1575,                 0.8116,                0.90465,              0.0032366,              0.0032366,              0.0032366
                     72,                  1.053,                0.60718,                0.87686,                0.58651,                 0.4658,                0.48558,                 0.3015,                 1.1602,                0.81116,                0.90577,              0.0031386,              0.0031386,              0.0031386
                     73,                 1.0492,                0.60185,                0.87462,                  0.583,                0.46492,                0.48259,                0.29936,                 1.1594,                0.81386,                0.90444,              0.0030406,              0.0030406,              0.0030406
