                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2939,                0.84556,                0.86615,                0.42511,                0.30075,                0.29473,                0.16716,                 1.3646,                0.90869,                 0.8663,               0.006634,               0.006634,               0.006634
                     37,                 1.2867,                0.84105,                 0.8642,                0.41043,                0.29447,                0.28913,                 0.1609,                 1.3774,                0.91002,                0.86813,               0.006535,               0.006535,               0.006535
                     38,                 1.2745,                0.83237,                0.86335,                0.41265,                0.29412,                0.29101,                0.16289,                 1.3686,                0.91717,                0.86625,               0.006436,               0.006436,               0.006436
                     39,                 1.2746,                0.82706,                 0.8648,                0.42736,                0.29831,                0.29496,                0.16464,                 1.3754,                0.91179,                0.86737,               0.006337,               0.006337,               0.006337
                     40,                 1.2672,                0.82518,                0.86284,                0.42325,                0.29832,                0.29721,                0.16542,                 1.3594,                0.90185,                0.86589,               0.006238,               0.006238,               0.006238
                     41,                  1.275,                0.82537,                  0.864,                0.43366,                0.30499,                0.30179,                0.17039,                 1.3477,                0.89667,                0.86308,               0.006139,               0.006139,               0.006139
                     42,                 1.2656,                0.81253,                0.86274,                 0.4223,                0.29788,                0.29751,                0.16807,                 1.3549,                0.90076,                0.86615,                0.00604,                0.00604,                0.00604
                     43,                  1.266,                0.81294,                0.86219,                0.42853,                0.29843,                0.29718,                0.16495,                 1.3648,                0.89982,                0.86762,               0.005941,               0.005941,               0.005941
                     44,                 1.2685,                0.81551,                0.86108,                0.43193,                0.29406,                0.29871,                0.16893,                 1.3563,                0.89385,                 0.8654,               0.005842,               0.005842,               0.005842
                     45,                 1.2596,                0.80306,                0.86092,                0.43322,                0.29514,                0.29806,                0.16581,                 1.3724,                0.90685,                 0.8669,               0.005743,               0.005743,               0.005743
                     46,                  1.251,                0.79723,                0.85991,                0.45028,                0.30031,                0.30238,                0.17007,                 1.3585,                0.88958,                0.86474,               0.005644,               0.005644,               0.005644
                     47,                 1.2553,                0.79868,                0.86046,                0.44787,                0.30138,                0.30303,                0.16987,                  1.354,                0.90268,                0.86429,               0.005545,               0.005545,               0.005545
                     48,                 1.2386,                0.78756,                0.85949,                0.43654,                0.30382,                0.30246,                0.17066,                 1.3572,                0.89005,                0.86423,               0.005446,               0.005446,               0.005446
                     49,                 1.2359,                0.78546,                0.85719,                0.44201,                0.30366,                0.30376,                0.17168,                 1.3569,                0.89599,                0.86576,               0.005347,               0.005347,               0.005347
                     50,                 1.2365,                0.78227,                0.85626,                0.44265,                 0.3049,                0.30584,                0.17158,                 1.3539,                0.89335,                 0.8658,               0.005248,               0.005248,               0.005248
                     51,                 1.2317,                0.77711,                0.85615,                 0.4439,                0.30694,                0.30433,                 0.1714,                 1.3483,                0.89498,                0.86352,               0.005149,               0.005149,               0.005149
                     52,                 1.2266,                0.76979,                0.85511,                0.45926,                0.29604,                0.30312,                0.16918,                  1.348,                0.89244,                0.86418,                0.00505,                0.00505,                0.00505
                     53,                 1.2329,                0.77428,                0.85616,                  0.439,                0.30666,                0.30713,                0.17296,                 1.3413,                 0.8841,                0.86226,               0.004951,               0.004951,               0.004951
                     54,                 1.2245,                0.76211,                0.85382,                0.44562,                0.30756,                0.30816,                0.17269,                 1.3386,                0.88503,                0.86251,               0.004852,               0.004852,               0.004852
                     55,                 1.2175,                0.76129,                0.85351,                0.45022,                0.30966,                0.30999,                 0.1749,                 1.3497,                0.88246,                0.86459,               0.004753,               0.004753,               0.004753
                     56,                 1.2098,                 0.7527,                0.85399,                0.45217,                0.30863,                0.30954,                0.17397,                 1.3462,                0.88634,                0.86444,               0.004654,               0.004654,               0.004654
                     57,                 1.2167,                0.75283,                0.85431,                0.43813,                0.30848,                0.30712,                0.17295,                 1.3407,                0.88149,                0.86414,               0.004555,               0.004555,               0.004555
                     58,                  1.208,                 0.7497,                 0.8537,                 0.4355,                0.31077,                0.30767,                0.17346,                 1.3417,                0.88105,                0.86304,               0.004456,               0.004456,               0.004456
                     59,                 1.2132,                0.74898,                 0.8521,                0.44542,                0.30562,                0.30643,                0.17188,                 1.3438,                0.89034,                0.86384,               0.004357,               0.004357,               0.004357
                     60,                 1.2063,                0.74461,                0.85274,                0.44991,                 0.3075,                0.30498,                0.17099,                 1.3542,                0.89354,                0.86353,               0.004258,               0.004258,               0.004258
                     61,                 1.1969,                0.73527,                0.85211,                 0.4437,                0.31157,                0.31146,                0.17641,                 1.3365,                0.87973,                0.86179,               0.004159,               0.004159,               0.004159
                     62,                 1.1959,                 0.7342,                0.85065,                0.45336,                0.30897,                 0.3098,                0.17429,                 1.3465,                0.88752,                0.86256,                0.00406,                0.00406,                0.00406
                     63,                 1.1991,                0.73443,                0.85084,                 0.4461,                0.30599,                0.30958,                0.17379,                 1.3497,                0.88668,                0.86342,               0.003961,               0.003961,               0.003961
                     64,                 1.1919,                0.72758,                0.84864,                   0.45,                0.30438,                0.30891,                0.17356,                 1.3509,                0.88863,                 0.8646,               0.003862,               0.003862,               0.003862
                     65,                 1.1906,                0.72471,                0.84977,                0.45307,                0.30537,                0.31222,                0.17559,                 1.3398,                0.88096,                0.86245,               0.003763,               0.003763,               0.003763
                     66,                 1.1862,                0.72185,                0.84951,                0.46243,                0.30954,                0.31381,                0.17633,                   1.34,                0.88181,                 0.8627,               0.003664,               0.003664,               0.003664
                     67,                 1.1762,                0.71091,                0.84829,                0.44447,                0.30694,                0.30962,                0.17581,                 1.3384,                0.89142,                0.86376,               0.003565,               0.003565,               0.003565
                     68,                 1.1852,                0.71694,                0.84729,                0.45229,                0.30729,                0.30984,                0.17472,                  1.343,                0.89224,                0.86276,               0.003466,               0.003466,               0.003466
                     69,                 1.1732,                0.71068,                0.84836,                0.46037,                0.30478,                0.31223,                 0.1756,                 1.3443,                0.88926,                0.86361,               0.003367,               0.003367,               0.003367
                     70,                 1.1797,                0.70915,                0.84618,                 0.4493,                0.30871,                0.30837,                0.17398,                 1.3417,                0.89389,                0.86291,               0.003268,               0.003268,               0.003268
                     71,                 1.1792,                0.70572,                0.84613,                0.45044,                0.31132,                0.31084,                0.17521,                 1.3365,                0.89277,                0.86211,               0.003169,               0.003169,               0.003169
                     72,                 1.1765,                0.70492,                 0.8447,                0.44256,                0.30864,                0.30914,                0.17331,                  1.337,                0.89126,                0.86181,                0.00307,                0.00307,                0.00307
                     73,                 1.1599,                0.69417,                0.84522,                0.45045,                0.30941,                0.31234,                0.17533,                 1.3364,                0.88986,                0.86235,               0.002971,               0.002971,               0.002971
                     74,                 1.1625,                 0.6948,                0.84482,                0.45198,                0.30893,                0.31248,                0.17537,                  1.333,                0.89136,                0.86183,               0.002872,               0.002872,               0.002872
                     75,                 1.1538,                 0.6871,                0.84353,                0.45489,                 0.3054,                0.30746,                0.17267,                 1.3345,                0.89707,                0.86174,               0.002773,               0.002773,               0.002773
                     76,                   1.15,                0.68019,                0.84428,                0.45304,                0.30777,                 0.3094,                0.17379,                  1.338,                 0.9012,                0.86168,               0.002674,               0.002674,               0.002674
                     77,                  1.157,                0.68714,                0.84239,                0.44808,                0.31085,                0.31013,                0.17413,                 1.3382,                0.89499,                0.86112,               0.002575,               0.002575,               0.002575
                     78,                 1.1487,                0.67814,                0.84268,                 0.4425,                0.31177,                0.31018,                0.17423,                 1.3391,                0.89819,                0.86141,               0.002476,               0.002476,               0.002476
                     79,                 1.1442,                0.67477,                0.84144,                 0.4492,                   0.31,                0.31202,                0.17407,                  1.339,                0.89666,                0.86169,               0.002377,               0.002377,               0.002377
                     80,                 1.1458,                0.67458,                0.84222,                0.46332,                0.30797,                0.31139,                0.17407,                 1.3394,                0.89755,                0.86196,               0.002278,               0.002278,               0.002278
                     81,                 1.1365,                0.66569,                0.84126,                0.44993,                0.31019,                0.30973,                0.17366,                 1.3358,                0.89795,                0.86108,               0.002179,               0.002179,               0.002179
                     82,                 1.1372,                  0.666,                0.84151,                0.45276,                0.30952,                0.30942,                0.17388,                 1.3327,                 0.8977,                 0.8606,                0.00208,                0.00208,                0.00208
                     83,                 1.1339,                0.66159,                0.84089,                0.45755,                0.30728,                0.31188,                0.17462,                 1.3348,                0.89775,                0.86069,               0.001981,               0.001981,               0.001981
                     84,                 1.1379,                0.66269,                 0.8388,                0.46579,                0.30703,                0.31278,                0.17533,                 1.3356,                0.89648,                 0.8606,               0.001882,               0.001882,               0.001882
                     85,                 1.1219,                0.65166,                0.83913,                0.46165,                0.30945,                0.31269,                0.17521,                 1.3338,                0.89688,                0.86066,               0.001783,               0.001783,               0.001783
                     86,                 1.1248,                0.65075,                0.83912,                0.46042,                0.30845,                 0.3114,                0.17368,                 1.3357,                0.89885,                0.86077,               0.001684,               0.001684,               0.001684
                     87,                 1.1261,                0.65085,                0.83877,                0.46613,                0.30755,                0.31099,                0.17362,                 1.3368,                0.90412,                0.86153,               0.001585,               0.001585,               0.001585
                     88,                 1.1192,                0.64778,                 0.8381,                0.46296,                0.30858,                 0.3112,                0.17427,                 1.3335,                0.90305,                0.86076,               0.001486,               0.001486,               0.001486
                     89,                 1.1196,                0.64602,                0.83796,                0.45502,                0.31073,                0.31165,                0.17487,                 1.3332,                0.90155,                0.86043,               0.001387,               0.001387,               0.001387
                     90,                 1.1166,                0.64397,                0.83713,                0.45764,                0.30949,                0.30999,                0.17343,                 1.3346,                0.90258,                0.86061,               0.001288,               0.001288,               0.001288
                     91,                 1.1104,                 0.6243,                0.83835,                0.45592,                0.30827,                0.31027,                0.17655,                  1.306,                0.89322,                0.85855,               0.001189,               0.001189,               0.001189
                     92,                  1.093,                0.61213,                0.83601,                0.45322,                0.30561,                0.30987,                0.17644,                 1.2954,                0.89161,                0.85782,                0.00109,                0.00109,                0.00109
                     93,                 1.0861,                0.60701,                0.83466,                0.45048,                0.30841,                0.30972,                0.17665,                 1.2928,                0.88961,                0.85787,               0.000991,               0.000991,               0.000991
                     94,                 1.0794,                0.60243,                0.83365,                0.45618,                0.30651,                0.30944,                0.17648,                 1.2911,                0.89109,                0.85776,               0.000892,               0.000892,               0.000892
                     95,                 1.0739,                0.59716,                0.83317,                0.45047,                0.30815,                0.30839,                0.17636,                 1.2917,                0.89325,                0.85798,               0.000793,               0.000793,               0.000793
                     96,                 1.0693,                0.59415,                0.83281,                0.45375,                0.30445,                0.30722,                0.17552,                  1.291,                0.89653,                0.85822,               0.000694,               0.000694,               0.000694
                     97,                 1.0656,                 0.5886,                  0.832,                0.45261,                0.30666,                0.30809,                0.17559,                 1.2891,                0.89646,                0.85785,               0.000595,               0.000595,               0.000595
                     98,                 1.0654,                0.58698,                0.83071,                  0.452,                0.30955,                0.30678,                0.17479,                 1.2895,                0.89571,                0.85802,               0.000496,               0.000496,               0.000496
                     99,                 1.0603,                0.58457,                0.83187,                0.44987,                0.30869,                  0.306,                0.17483,                 1.2912,                0.89775,                0.85849,               0.000397,               0.000397,               0.000397
                    100,                 1.0558,                0.58097,                0.83019,                0.44821,                 0.3083,                0.30526,                0.17435,                  1.294,                0.89951,                0.85883,               0.000298,               0.000298,               0.000298
